Serial_Number,Stock_Symbol_Name
1,Elegant Floricul
2,Intec Capital
3,Fundviser Capit.
4,SRU Steels
5,Onix Solar
6,Last Mile Enter.
7,Silverline Tech
8,Valor Estate
9,Rose Merc.
10,SMT Engineering
11,Sylph Techno
12,Oswal Agro Mills
13,Radhe Develop.
14,CIAN Agro
15,Biogen Pharma
16,Murae Organisor
17,Golden Legand Ls
18,Alfred Herbert
19,Naga Dhunseri
20,Modern Malleable
21,TARC Ltd
22,Mehai Technology
23,Choksi Asia
24,Sarthak Industri
25,Tips Films
26,Odyssey Corpn.
27,Aryaman Capital
28,Std. Capital Mkt
29,Ravindra Energy
30,Grovy India
31,One Global Serv
32,Abans Financial
33,Kavveri Defence
34,Mercury EV-Tech
35,Unifinz Capital
36,Harshil Agrotech
37,Sunrakshakk Inds
38,Viviana Power
39,Alpex Solar
40,Ind-Swift Labs.
41,Touchwood Enter.
42,Leading Lea. Fin
43,A B Infrabuild
44,Hind Aluminium
45,Sundaram Fin.Hol
46,GACM Tech
47,String Metaverse
48,Sudarshan Chem.
49,Panorama Studios
50,Gowra Leasing
51,Mah. Scooters
52,S P Capital Fin.
53,NTC Industries
54,Royal India Corp
55,Garuda Cons
56,BLS E-Services
57,Jaykay Enter.
58,Banas Finance
59,Marble City
60,PVV Infra Ltd
61,Afcom Holdings
62,Raymond Realty
63,Shree Salasar
64,Mafatlal Inds.
65,Uday Jewellery
66,Dhanalaxmi Roto
67,Kretto Syscon
68,Garnet Construct
69,SRM Contractors
70,Aryaman Fin.Serv
71,Felix Industries
72,Haz.Multi Proj.
73,Waaree Renewab.
74,Manugraph India
75,Ace Soft. Exp.
76,Valiant Laborato
77,Chalet Hotels
78,GSM Foils
79,Semac Construct
80,Handson Global
81,Bajaj Holdings
82,Ashiana Housing
83,Growington Vent
84,ASM Technologies
85,Sugs Lloyd
86,Vintage Coffee
87,Pansari Develop.
88,Fischer Medical
89,Genpharmasec
90,Amal
91,Genus Power
92,Shraddha Prime
93,Lehar Footwears
94,Gloster Ltd
95,Indl.& Prud.Inv.
96,Nila Infrastruct
97,Sika Interplant
98,Regency Fincorp
99,RDB Infrastruc.
100,Thakkers Develp.
101,T & I Global
102,IFL Enterprises
103,Blue Jet Health
104,Manorama Indust.
105,Kiduja India
106,SignatureGlobal
107,EFC (I)
108,Sunil Industries
109,Nitco
110,Modern Engineer.
111,Nidhi Granites
112,Arih.Found.Hsg.
113,Baroda Rayon
114,Kreon Finnancial
115,Ceinsys Tech
116,Nisus Finance
117,Yatra Online
118,Sonu Infratech
119,Sundrop Brands
120,M B Agro Prod.
121,Aayush Wellness
122,Netweb Technol.
123,M K Proteins
124,Yash Innoventure
125,Shradha AI Tech
126,Indo Tech.Trans.
127,Nazara Technolo.
128,Mansi Fin.(Chen)
129,Advait Energy
130,Sobhagya Mercant
131,Dolphin Offshore
132,Thomas Scott
133,Websol Energy
134,Enbee Trade
135,Dixon Technolog.
136,Kernex Microsys.
137,Colab Platforms
138,Rossell Techsys
139,Tembo Global
140,Reliable Data
141,Astal Lab
142,Sterling & Wils.
143,Swasti Vin. Art
144,Supra Pacific
145,Asian Energy
146,Anupam Rasayan
147,Espire Hospi
148,Ashapura Minech.
149,Megastar Foods
150,Sai Capital
151,TCC Concept
152,XT Global Infot.
153,Australian Prem
154,Suditi Industrie
155,Tanfac Inds.
156,Dhanashree Elect
157,Sanghvi Movers
158,National High
159,Inter Globe Fin
160,Transrail Light
161,Laxmi Goldorna
162,Khaitan Chemical
163,Vikram Solar
164,Trident Lifeline
165,R M Drip & Sprin
166,JSW Energy
167,Integ. Industrie
168,Sai Life
169,Jyoti Structures
170,Anzen IYEP Trust
171,Sarda Energy
172,SIL Investments
173,Pranik Logistics
174,Suratwwala Busi.
175,Fermenta Biotec.
176,Jeena Sikho
177,F A C T
178,KPI Green Energy
179,Le Travenues
180,K.P. Energy
